feature_set,model,r2_mean,r2_std,r2_max,mae_mean,mae_std,rmse_mean,splits,description
qa_modality_cosines_plus_diff,ridge,0.6035620451467837,0.05575054479404314,0.6584598436215926,1.1128927735429093,0.11693998906390461,1.3992380674025962,3,Q+A modality embeddings plus PCA of modality-specific differences.
whole_text_cosine_plus_diff,ridge,0.5288195981344416,0.06331235610535116,0.6017579755593838,1.2236176213327008,0.14809253450974222,1.5248988415682794,3,Whole-text cosine plus PCA of ideal-minus-actual vector.
qa_modality_cosines_plus_diff,svr_rbf,0.5224946872827817,0.060862456089764726,0.583681871100348,1.1734877184650474,0.0864251540203217,1.5334888654475332,3,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,gbr,0.5108650032247994,0.07823127576893824,0.5740385350160042,1.181447788380327,0.050394690564515815,1.5509317120742214,3,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,extra_trees,0.5034806239680404,0.04097400593819883,0.5338729601515355,1.233699763671644,0.09553246094259296,1.565659449124353,3,Q+A modality embeddings plus PCA of modality-specific differences.
modality_cosines_plus_diff,ridge,0.5029990108569552,0.10274604333216653,0.5839390008307741,1.2223807286942134,0.15121110236441349,1.5647311082068713,3,Modality cosines plus PCA of modality-specific vector differences.
qa_modality_cosines_plus_diff,hist_gbr,0.4976515815037783,0.14583997868396414,0.5895229236979609,1.2306042784389146,0.13869759922966454,1.5644463082546995,3,Q+A modality embeddings plus PCA of modality-specific differences.
whole_text_cosine_plus_diff,gbr,0.4967812361118214,0.09271783272546395,0.5759450688918659,1.299390609638539,0.07066571379696678,1.5717407110667285,3,Whole-text cosine plus PCA of ideal-minus-actual vector.
whole_text_cosine_plus_diff,svr_rbf,0.48061671553446494,0.03134727994770168,0.515626774306306,1.3212348801983376,0.035707978081599125,1.6016261763505837,3,Whole-text cosine plus PCA of ideal-minus-actual vector.
whole_text_cosine_plus_diff,extra_trees,0.45998832212371754,0.06659818015345569,0.504026915176434,1.3336853156902049,0.07061695102965411,1.6317193113412134,3,Whole-text cosine plus PCA of ideal-minus-actual vector.
whole_text_cosine_plus_diff,hist_gbr,0.4222278402191153,0.05089797976841096,0.47583912874592504,1.4017575221251806,0.08324323269965639,1.6884027721886206,3,Whole-text cosine plus PCA of ideal-minus-actual vector.
modality_cosines_plus_diff,svr_rbf,0.38561681918614577,0.05518580865172667,0.4365366247458572,1.35985932731049,0.08929124747360599,1.743107127835442,3,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,extra_trees,0.34317343014217333,0.09346173277260628,0.4465891317058195,1.4463983038603372,0.1554048473064771,1.800659295897743,3,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,gbr,0.28988633332272257,0.12606497841666747,0.3630054709699221,1.4561823396595377,0.18155089610095856,1.871773244917022,3,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,hist_gbr,0.23015262909333237,0.22642519750114284,0.48153491384887337,1.5112243244355996,0.23675194647505413,1.9390368774715487,3,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_absdiff,svr_rbf,0.16433492466168367,0.14502129419855234,0.3243460598486744,1.623747167351036,0.19175785656227048,2.0284003573050278,3,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,ridge,0.15628557232465665,0.10595248167883427,0.2713807846852364,1.6756055241438312,0.06164981984892032,2.0383102124419694,3,Modality cosines plus PCA of absolute modality differences.
modality_cosines,svr_rbf,0.11385795306248447,0.14650903347500366,0.24673352998970943,1.6385613781366544,0.16234732816134592,2.0885720562141765,3,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,extra_trees,0.10249675546633923,0.10493048159351934,0.18904476348356236,1.7132984332356465,0.1452867894743001,2.1041886864962263,3,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines_plus_absdiff,extra_trees,0.08635869046497498,0.10991107853452713,0.21272342094646446,1.7383717321048433,0.17707738318861835,2.1242391664218885,3,Modality cosines plus PCA of absolute modality differences.
whole_text_cosine,svr_rbf,0.06770669844210724,0.07562717645870597,0.14534985731362804,1.7258239096685049,0.10948707234491778,2.1450870782689275,3,STS embedding cosine between all actual and all ideal comments.
whole_text_cosine,extra_trees,0.02834742036500378,0.16250278657461462,0.1770889438087413,1.796762905563227,0.21241393374585218,2.186928867998542,3,STS embedding cosine between all actual and all ideal comments.
modality_cosines_plus_absdiff,gbr,0.02093619209595003,0.1492553819314803,0.11075537817877246,1.8127965604781078,0.1892289935841336,2.198879889702889,3,Modality cosines plus PCA of absolute modality differences.
modality_cosines,ridge,0.01687345109824438,0.06888960271021931,0.07453781924803682,1.8274112171181518,0.09334582876190786,2.203465601738487,3,"Whole cosine, three modality cosines, and text-length controls."
whole_text_cosine,ridge,0.007666831676929942,0.09395551570465907,0.06582093608895234,1.82212062258593,0.12514128995915716,2.2131674801911934,3,STS embedding cosine between all actual and all ideal comments.
modality_cosines,gbr,-0.00021722809033882426,0.11684043295781094,0.12559926315230752,1.7502745431510622,0.06389929749401961,2.2198860458171183,3,"Whole cosine, three modality cosines, and text-length controls."
dummy_mean,dummy,-0.0847921371459961,0.10738302829915543,-0.01244211196899414,1.926379958788554,0.11707175283309897,2.3138745939417134,3,Mean-only baseline.
whole_text_cosine,hist_gbr,-0.10593037993469301,0.3358330153824734,0.2102986982641709,1.8776959763917984,0.3602119578243667,2.3205631166876906,3,STS embedding cosine between all actual and all ideal comments.
modality_cosines_plus_absdiff,hist_gbr,-0.1381233846279888,0.27900017456386833,0.052947486159561574,1.9365179391906586,0.3159071758842623,2.365420935494943,3,Modality cosines plus PCA of absolute modality differences.
modality_cosines,hist_gbr,-0.16906319996265662,0.08781744888560514,-0.10610778089541317,1.904747202440347,0.16781014174494502,2.404839896836665,3,"Whole cosine, three modality cosines, and text-length controls."
whole_text_cosine,gbr,-0.32134616154487655,0.2053613970289291,-0.10288999139902688,2.0086978065413885,0.15566467712862148,2.548512433968911,3,STS embedding cosine between all actual and all ideal comments.
