consumer,product,liking,split,visual_similarity,texture_similarity,flavor_similarity
H001,J01,9.52,holdout,0.9142365,0.96894526,0.9296421
H001,J04,6.53,holdout,0.89924127,0.8974997,0.9643239
H001,J05,6.85,holdout,0.9090301,0.92666686,0.90819985
H001,J16,0.58,holdout,0.9267651,0.8935944,0.8643203
H001,J25,3.42,holdout,0.8990246,0.9217169,0.9098997
H001,J30,9.25,holdout,0.91911167,0.93849164,0.930133
H003,J01,6.66,train,0.89556247,0.9108112,0.9527465
H003,J02,9.17,train,0.92349863,0.9391076,0.9459858
H003,J03,8.37,train,0.92047185,0.9247406,0.91336524
H003,J10,7.81,train,0.9607493,0.9738648,0.9629922
H003,J15,5.59,train,0.92063487,0.9165628,0.9532802
H003,J16,7.88,train,0.9092597,0.9530294,0.94457966
H003,J26,7.48,train,0.9468877,0.9443454,0.9552846
H003,J32,5.89,train,0.93760973,0.93525887,0.9235108
H004,J01,9.88,train,0.91266495,0.87012744,0.93492156
H004,J02,7.52,train,0.9432622,0.8401859,0.9387021
H004,J09,7.73,train,0.8604183,0.8781196,0.8827094
H004,J10,6.92,train,0.90766203,0.8796923,0.90713054
H004,J15,9.78,train,0.903302,0.8556659,0.8965277
H004,J17,9.94,train,0.90853345,0.84889215,0.8499204
H004,J30,10.0,train,0.9317622,0.8467667,0.8705579
H004,J31,9.22,train,0.9263355,0.84836197,0.91109
H005,J05,6.65,train,0.8121277,0.79210436,0.73002887
H005,J28,9.37,train,0.7767252,0.8019836,0.8005302
H006,J02,8.34,train,0.8764316,0.93317926,0.9057658
H006,J09,7.07,train,0.94879174,0.99999994,0.9441659
H006,J15,6.59,train,0.9405675,0.9053122,0.9213935
H006,J23,5.45,train,0.9513913,0.8823077,0.91633797
H006,J26,9.25,train,0.9268996,0.8996328,0.94077516
H006,J29,9.37,train,0.9344711,0.9440251,0.9042657
H007,J20,5.96,train,0.7865502,0.8135633,0.7732827
H007,J21,2.76,train,0.7859503,0.7733928,0.7537087
H007,J23,3.43,train,0.79228854,0.7886051,0.84702307
H007,J26,9.19,train,0.7796544,0.8084481,0.76512116
H008,J01,8.38,train,0.9131769,0.9560591,0.94720054
H008,J02,6.44,train,0.90100175,0.96397406,0.934489
H008,J05,5.66,train,0.9201045,0.96470374,0.93817997
H008,J14,6.23,train,0.9329691,0.95147693,0.92678326
H008,J17,5.0,train,0.9120728,0.959059,0.89988625
H008,J19,7.7,train,0.935222,0.9016267,0.9306749
H008,J20,7.37,train,0.9355978,0.95223916,0.94786155
H008,J23,8.13,train,0.9049009,0.9442107,0.882849
H008,J30,9.31,train,0.9394795,0.97786707,0.9380287
H009,J01,3.92,train,0.88420135,0.8942965,0.9765385
H009,J15,4.02,train,0.8832474,0.91471386,0.93555206
H009,J20,7.33,train,0.9127381,0.9302294,0.94234073
H009,J23,7.69,train,0.9124036,0.94594765,0.96006775
H009,J25,3.72,train,0.8823039,0.91056466,0.9466329
H009,J26,7.74,train,0.9281089,0.96424603,0.97061527
H010,J01,1.97,train,0.89913803,0.9175266,0.8644077
H010,J10,3.9,train,0.9334942,0.9002519,0.8569454
H010,J20,5.01,train,0.92003846,0.9173846,0.8877163
H010,J21,5.87,train,0.9228271,0.969453,0.89645445
H010,J23,2.38,train,0.8987007,0.89937156,0.87570965
H010,J26,3.38,train,0.96118224,0.8903519,0.8915285
H010,J28,4.24,train,0.9277128,0.895905,0.85208523
H010,J29,3.56,train,0.93001735,0.9200066,0.8202108
H012,J03,5.42,holdout,0.7896634,0.8633537,0.8535402
H012,J19,8.59,holdout,0.8213131,0.82523847,0.8230615
H012,J22,8.59,holdout,0.8175683,0.84865975,0.86374146
H012,J23,1.87,holdout,0.7934827,0.87742805,0.8734755
H012,J28,6.37,holdout,0.80506015,0.8545913,0.8661554
H012,J30,6.47,holdout,0.7998389,0.82513934,0.8440529
H012,J31,5.2,holdout,0.8078681,0.8550446,0.8369161
H013,J05,7.4,train,0.9068136,0.9248827,0.96179986
H013,J19,7.77,train,0.882367,0.8829255,0.9452549
H013,J20,6.32,train,0.89181453,0.9002467,0.94455165
H013,J25,5.78,train,0.9544943,0.91528356,0.91447634
H018,J01,8.47,holdout,0.9039819,0.94929695,0.95829266
H018,J09,7.64,holdout,0.903747,0.88010645,0.89353496
H018,J19,4.63,holdout,0.891631,0.9314507,0.9119592
H018,J20,4.56,holdout,0.8816343,0.9060713,0.88339484
H018,J23,6.49,holdout,0.8919411,0.9265001,0.9536196
H018,J26,8.23,holdout,0.8926686,0.949216,0.9646335
H018,J29,4.81,holdout,0.9028021,0.9221202,0.94867945
H018,J30,7.82,holdout,0.914211,0.93255097,0.9445265
H018,J31,8.34,holdout,0.90393305,0.95931375,0.9409162
H020,J01,9.53,train,0.93842894,0.952502,0.9268359
H020,J02,10.0,train,0.9359656,0.97421026,0.93904686
H020,J03,10.0,train,0.9341203,0.89445746,0.9448088
H020,J10,8.78,train,0.9471548,0.9207539,0.89663965
H020,J15,5.5,train,0.93121827,0.91525704,0.8808423
H020,J20,5.52,train,0.9177149,0.9199463,0.85563755
H020,J21,9.49,train,0.94510347,0.92505896,0.955605
H020,J23,7.16,train,0.9380824,0.9431888,0.8791337
H020,J26,8.12,train,0.9371283,0.92120737,0.9342798
H020,J27,9.6,train,0.94093513,0.96261734,0.9024509
H020,J28,9.25,train,0.9388525,0.96472764,0.8798388
H020,J29,5.41,train,0.95464516,0.87983286,0.9061995
H020,J30,8.89,train,0.9276393,0.9396269,0.8478626
H020,J31,9.62,train,0.90994453,0.9606273,0.88766545
H021,J06,7.17,train,0.8889177,0.8956406,0.8183675
H021,J10,5.43,train,0.84812415,0.9187865,0.87236005
H021,J26,7.2,train,0.8892825,0.91027343,0.8561755
H021,J27,3.27,train,0.8670654,0.8990109,0.8110876
H022,J14,9.17,train,0.85540175,0.8717357,0.89912695
H022,J15,4.61,train,0.953704,0.9225869,0.95915824
H022,J16,2.32,train,0.9314205,0.9202385,0.93474156
H022,J17,8.27,train,0.92179525,0.8900614,0.95573044
H023,J10,6.87,holdout,0.9071163,0.9530808,0.9350805
H023,J19,0.29,holdout,0.8666576,0.9288403,0.892472
H023,J28,8.57,holdout,0.92593557,0.95862705,0.9261575
H023,J31,9.7,holdout,0.9302747,0.8759859,0.97080064
H028,J01,9.58,train,0.93432224,0.9476581,0.95079684
H028,J10,7.35,train,0.93471384,0.8811052,0.88745415
H028,J14,7.33,train,0.90609264,0.9420388,0.91573715
H028,J26,5.34,train,0.9195611,0.87401325,0.9071616
H029,J01,9.93,train,0.8125117,0.8347535,0.8286826
H029,J02,9.99,train,0.84920406,0.83323216,0.78211105
H029,J17,0.73,train,0.83047557,0.8213991,0.82593
H029,J28,7.95,train,0.85788345,0.80858886,0.77919495
H030,J01,5.89,holdout,0.8880023,0.91859657,0.9496101
H030,J02,9.84,holdout,0.9438756,0.9647962,0.92906094
H030,J10,9.98,holdout,0.9219425,0.9401994,0.95037436
H030,J26,9.08,holdout,0.88042927,0.9508304,0.9359634
H030,J28,9.84,holdout,0.95656335,0.97533566,0.96598446
H030,J29,9.51,holdout,0.9482905,0.9478912,0.9310557
H030,J30,8.65,holdout,0.8879056,0.9389924,0.9119418
H030,J31,9.66,holdout,0.92848396,0.9617315,0.94259953
H031,J02,8.61,holdout,0.9204843,0.92471886,0.9203883
H031,J10,2.21,holdout,0.9144608,0.9019888,0.8726696
H031,J17,6.21,holdout,0.94545907,0.9287213,0.9380318
H031,J20,5.28,holdout,0.8736649,0.89920646,0.8961769
H031,J21,5.21,holdout,0.8529998,0.8548633,0.94923234
H031,J25,0.45,holdout,0.8122951,0.91790354,0.8650958
H031,J28,3.07,holdout,0.9051806,0.92759454,0.8788756
H031,J31,8.56,holdout,0.9290868,0.9321549,0.98903334
H032,J10,9.01,train,0.89615345,0.9337202,0.9498328
H032,J20,9.15,train,0.93313646,0.9242111,0.9531487
H032,J21,8.03,train,0.91521806,0.9242111,0.9580846
H032,J26,4.66,train,0.942536,0.91218257,0.9079062
H032,J28,9.31,train,0.9259943,0.9279338,0.9018942
H033,J02,5.8,train,0.89307874,0.9003431,0.866708
H033,J26,5.72,train,0.90905577,0.9029143,0.894498
H033,J27,2.14,train,0.9135178,0.8768671,0.8756246
H033,J29,7.04,train,0.8796017,0.9236134,0.908826
H035,J01,9.93,train,0.929341,0.8515401,0.9668611
H035,J10,10.0,train,0.9822602,0.8654612,0.9048121
H035,J20,9.33,train,0.9630228,0.84010935,0.9048121
H035,J23,2.76,train,0.9168155,0.90448946,0.8644992
H035,J25,4.98,train,0.9181544,0.82432956,0.95369005
H035,J26,9.93,train,0.9203827,0.87026894,0.9048121
H035,J28,7.19,train,0.90137196,0.88252115,0.95036405
H035,J29,7.42,train,0.953477,0.8893551,0.9049527
H035,J30,10.0,train,0.95106,1.0,0.9221497
H037,J08,8.24,train,0.8978933,0.9238845,0.983307
H037,J09,10.0,train,0.94408226,0.96100867,0.9277864
H037,J28,9.76,train,0.94825065,0.91782695,0.92707115
H037,J29,8.8,train,0.9933308,0.9223877,0.95996046
H038,J01,4.45,train,0.9050968,0.89799774,0.9222683
H038,J05,1.33,train,0.91633546,0.94044745,0.85330164
H038,J17,5.23,train,0.9094608,0.92769754,0.894755
H038,J20,8.5,train,0.9072883,0.8591927,0.86127996
H038,J21,4.65,train,0.88819146,0.9367939,0.83688927
H038,J22,9.62,train,0.90848184,0.91623515,0.89289206
H038,J23,5.56,train,0.91281056,0.9232321,0.85593307
H039,J01,8.37,train,0.9653412,0.89541775,0.89316857
H039,J02,9.38,train,0.9635436,0.9561087,0.8667711
H039,J03,8.98,train,0.9400484,0.8901727,0.8765522
H039,J09,2.53,train,0.90581197,0.9006876,0.8640123
H039,J10,9.38,train,0.9664214,0.89713454,0.9244158
H039,J15,6.94,train,0.9595613,0.89370656,0.8771776
H039,J17,8.14,train,0.9578128,0.8883831,0.9281155
H039,J21,9.21,train,0.9533934,0.92417216,0.90446615
H039,J25,6.0,train,0.96204305,0.9142837,0.8597072
H039,J28,9.31,train,0.9635436,0.9259416,0.9213073
H039,J31,9.46,train,0.95827013,0.8639866,0.898821
H041,J01,7.84,train,0.9817223,0.9170225,0.9195676
H041,J02,6.21,train,0.96800107,0.90869755,0.90300393
H041,J09,8.9,train,0.9385081,0.9007087,0.9308757
H041,J10,8.12,train,0.9535305,0.9092741,0.9580443
H041,J23,5.03,train,0.9433561,0.93630004,0.9033283
H041,J29,10.0,train,0.9580475,0.9459294,0.87913775
H041,J30,7.04,train,0.97382855,0.89490014,0.9010282
H041,J31,8.89,train,0.9665128,0.9406178,0.9041043
H043,J01,5.31,train,0.9467102,0.8879639,0.90223306
H043,J04,7.81,train,0.90141416,0.97895503,0.9204143
H043,J05,5.17,train,0.90740466,0.9310891,0.8829198
H043,J10,8.58,train,0.9829848,0.9213537,0.9072955
H043,J23,4.36,train,0.8704719,0.95615596,0.8884154
H043,J30,7.62,train,0.9530424,0.91775763,0.8829198
H044,J01,2.45,train,0.8935789,0.910518,0.86311376
H044,J02,9.74,train,0.8681375,0.8940085,0.85916615
H044,J09,6.51,train,0.89650476,0.8915001,0.91804194
H044,J26,1.66,train,0.8989169,0.8815968,0.8695386
H045,J01,6.71,train,0.91310406,0.92144465,0.9517765
H045,J02,6.58,train,0.922495,0.9134234,0.94611526
H045,J17,1.34,train,0.92753696,0.87952507,0.8730211
H045,J30,3.17,train,0.92054605,0.94871736,0.879484
H046,J15,3.84,holdout,0.8400035,0.8246755,0.7542245
H046,J30,7.59,holdout,0.79555464,0.80232525,0.8224815
H046,J31,4.78,holdout,0.8314253,0.82755864,0.8568061
H047,J01,6.74,train,0.9400176,0.8792305,0.9426049
H047,J02,6.19,train,0.89688456,0.90785116,0.94088066
H047,J09,7.44,train,0.9080805,0.89911556,0.92358834
H047,J10,6.3,train,0.9008187,0.88281476,0.93103784
