consumer,product,liking,split,visual_similarity,texture_similarity,flavor_similarity
H001,J01,9.52,holdout,0.7653145,0.8631536,0.808516
H001,J04,6.53,holdout,0.6646211,0.70637363,0.9048027
H001,J05,6.85,holdout,0.67462635,0.7478025,0.7475689
H001,J16,0.58,holdout,0.77931607,0.67511576,0.6094315
H001,J25,3.42,holdout,0.69156486,0.7479479,0.74380386
H001,J30,9.25,holdout,0.797462,0.73739004,0.7983152
H003,J01,6.66,train,0.5526668,0.6770724,0.8543314
H003,J02,9.17,train,0.7082582,0.78784,0.79951966
H003,J03,8.37,train,0.61725557,0.60046005,0.53954077
H003,J10,7.81,train,0.7858793,0.90713567,0.8884368
H003,J15,5.59,train,0.6925174,0.76222754,0.83553356
H003,J16,7.88,train,0.71819276,0.86550546,0.773183
H003,J26,7.48,train,0.81173384,0.83246005,0.8467424
H003,J32,5.89,train,0.6200523,0.6016131,0.6566053
H004,J01,9.88,train,0.6876782,0.61232233,0.8137271
H004,J02,7.52,train,0.8221688,0.6171013,0.82285416
H004,J09,7.73,train,0.73897815,0.678445,0.7246073
H004,J10,6.92,train,0.73460495,0.58124995,0.7090095
H004,J15,9.78,train,0.70247793,0.6122113,0.6838325
H004,J17,9.94,train,0.67789155,0.51453054,0.5398919
H004,J30,10.0,train,0.8240548,0.59780514,0.557663
H004,J31,9.22,train,0.79450387,0.6237905,0.7586646
H005,J05,6.65,train,0.5642083,0.50028414,0.46745992
H005,J28,9.37,train,0.5132077,0.5228843,0.46476597
H006,J02,8.34,train,0.52725065,0.65522814,0.6909863
H006,J09,7.07,train,0.80254686,1.0,0.8263775
H006,J15,6.59,train,0.77450144,0.6050353,0.8427726
H006,J23,5.45,train,0.7976437,0.6347143,0.72761095
H006,J26,9.25,train,0.7724259,0.6099129,0.84132296
H006,J29,9.37,train,0.71816516,0.7111398,0.665528
H007,J20,5.96,train,0.5661353,0.5485954,0.5257582
H007,J21,2.76,train,0.55014116,0.56283504,0.4858829
H007,J23,3.43,train,0.55982935,0.5629204,0.5085306
H007,J26,9.19,train,0.56106424,0.5573598,0.47717774
H008,J01,8.38,train,0.7542208,0.8170805,0.7597982
H008,J02,6.44,train,0.7371937,0.8362249,0.74903834
H008,J05,5.66,train,0.81417394,0.88261783,0.7883229
H008,J14,6.23,train,0.8044382,0.81821644,0.77065504
H008,J17,5.0,train,0.7041103,0.85135615,0.7118448
H008,J19,7.7,train,0.8027179,0.72446984,0.7667459
H008,J20,7.37,train,0.8147121,0.81446016,0.8063861
H008,J23,8.13,train,0.75665605,0.8019998,0.7776692
H008,J30,9.31,train,0.7584779,0.89575636,0.8431823
H009,J01,3.92,train,0.6471793,0.6958215,0.9353271
H009,J15,4.02,train,0.67556036,0.7654013,0.8638226
H009,J20,7.33,train,0.7900873,0.7904421,0.7834784
H009,J23,7.69,train,0.7155913,0.74166954,0.83688307
H009,J25,3.72,train,0.7490342,0.6954349,0.8295684
H009,J26,7.74,train,0.7511555,0.84393597,0.8411
H010,J01,1.97,train,0.65993416,0.63624394,0.6079935
H010,J10,3.9,train,0.8096559,0.6524282,0.5633775
H010,J20,5.01,train,0.7836343,0.72859025,0.55196923
H010,J21,5.87,train,0.7968263,0.84402657,0.57720804
H010,J23,2.38,train,0.73271453,0.663946,0.5906532
H010,J26,3.38,train,0.80769485,0.60173017,0.54097855
H010,J28,4.24,train,0.78380734,0.61753494,0.5644266
H010,J29,3.56,train,0.79338336,0.66527855,0.5033801
H012,J03,5.42,holdout,0.42739964,0.47255272,0.47444654
H012,J19,8.59,holdout,0.49305618,0.37205026,0.34504446
H012,J22,8.59,holdout,0.39973277,0.47928724,0.4680159
H012,J23,1.87,holdout,0.32973135,0.5611133,0.5530107
H012,J28,6.37,holdout,0.44008842,0.4510002,0.46984634
H012,J30,6.47,holdout,0.3887492,0.3729991,0.40479288
H012,J31,5.2,holdout,0.45654082,0.4364536,0.43203834
H013,J05,7.4,train,0.63362515,0.7679281,0.88097626
H013,J19,7.77,train,0.6139748,0.6878161,0.8815191
H013,J20,6.32,train,0.5719199,0.66058826,0.8596498
H013,J25,5.78,train,0.7979529,0.73367345,0.84345543
H018,J01,8.47,holdout,0.76668596,0.8550324,0.7944472
H018,J09,7.64,holdout,0.7405373,0.69940495,0.6432024
H018,J19,4.63,holdout,0.6838207,0.803138,0.67476916
H018,J20,4.56,holdout,0.67697513,0.76800513,0.6409869
H018,J23,6.49,holdout,0.7002591,0.74291104,0.77489626
H018,J26,8.23,holdout,0.71741956,0.8052996,0.8191899
H018,J29,4.81,holdout,0.7352904,0.7800326,0.78608125
H018,J30,7.82,holdout,0.75345606,0.8017942,0.86149174
H018,J31,8.34,holdout,0.7308823,0.8598367,0.7477655
H020,J01,9.53,train,0.76820683,0.77341354,0.79906094
H020,J02,10.0,train,0.7479972,0.8234253,0.82734936
H020,J03,10.0,train,0.82220197,0.7181145,0.8721733
H020,J10,8.78,train,0.78582317,0.68799603,0.7297766
