consumer,product,liking,split,visual_similarity,texture_similarity,flavor_similarity
H001,J01,9.52,holdout,0.76024485,0.92767,0.86982524
H001,J04,6.53,holdout,0.6883074,0.7807949,0.89297736
H001,J05,6.85,holdout,0.7118599,0.8407678,0.75077087
H001,J16,0.58,holdout,0.819384,0.76780146,0.7457123
H001,J25,3.42,holdout,0.6860986,0.84002733,0.79554
H001,J30,9.25,holdout,0.8205663,0.8456936,0.8714534
H003,J01,6.66,train,0.57145804,0.8289629,0.9199077
H003,J02,9.17,train,0.7376411,0.8665831,0.90744656
H003,J03,8.37,train,0.70460683,0.76110935,0.73974675
H003,J10,7.81,train,0.7937808,0.95369667,0.93360907
H003,J15,5.59,train,0.68662727,0.8545363,0.927351
H003,J16,7.88,train,0.7263969,0.90979594,0.86297727
H003,J26,7.48,train,0.83676916,0.870293,0.9266406
H003,J32,5.89,train,0.7231781,0.8156697,0.7849301
H004,J01,9.88,train,0.7301817,0.7668668,0.8578402
H004,J02,7.52,train,0.81575096,0.72750664,0.8722306
H004,J09,7.73,train,0.79018426,0.76750374,0.8106892
H004,J10,6.92,train,0.7654302,0.76326066,0.8518867
H004,J15,9.78,train,0.74904466,0.7459176,0.8123056
H004,J17,9.94,train,0.73282325,0.7174746,0.72236156
H004,J30,10.0,train,0.83096397,0.7296845,0.6933255
H004,J31,9.22,train,0.82188964,0.7349236,0.85525274
H005,J05,6.65,train,0.6034185,0.5472331,0.5903286
H005,J28,9.37,train,0.42292774,0.5477067,0.6599684
H006,J02,8.34,train,0.64645004,0.7302834,0.831457
H006,J09,7.07,train,0.84743226,1.0,0.91962314
H006,J15,6.59,train,0.79060435,0.70927286,0.9087275
H006,J23,5.45,train,0.8871842,0.71193564,0.86388767
H006,J26,9.25,train,0.80605435,0.6564501,0.91567504
H006,J29,9.37,train,0.84206676,0.82579327,0.8494853
H007,J20,5.96,train,0.47864398,0.5683302,0.6150327
H007,J21,2.76,train,0.4643386,0.6011524,0.562924
H007,J23,3.43,train,0.5553504,0.48476762,0.7448182
H007,J26,9.19,train,0.5106554,0.55744034,0.5936913
H008,J01,8.38,train,0.77841604,0.91292703,0.8164364
H008,J02,6.44,train,0.8152851,0.924235,0.8118612
H008,J05,5.66,train,0.87601596,0.94026446,0.8160825
H008,J14,6.23,train,0.8830805,0.9047093,0.8164959
H008,J17,5.0,train,0.71065164,0.9202175,0.76728
H008,J19,7.7,train,0.8444632,0.7951129,0.80259633
H008,J20,7.37,train,0.8580935,0.9092698,0.8177022
H008,J23,8.13,train,0.8206551,0.8866566,0.83338994
H008,J30,9.31,train,0.7423264,0.94849074,0.9163476
H009,J01,3.92,train,0.59756863,0.88046485,0.9605351
H009,J15,4.02,train,0.668366,0.8659757,0.915046
H009,J20,7.33,train,0.7689742,0.8610997,0.7969567
H009,J23,7.69,train,0.7270923,0.7955241,0.94111913
H009,J25,3.72,train,0.73932886,0.8583718,0.89001334
H009,J26,7.74,train,0.749084,0.9001186,0.90346265
H010,J01,1.97,train,0.7087247,0.81005585,0.75037384
H010,J10,3.9,train,0.82993984,0.79695505,0.7262387
H010,J20,5.01,train,0.79982495,0.8287581,0.7535149
H010,J21,5.87,train,0.8089374,0.9301723,0.7566625
H010,J23,2.38,train,0.7634908,0.80842316,0.7423518
H010,J26,3.38,train,0.81986314,0.80237174,0.76801735
H010,J28,4.24,train,0.8117016,0.796583,0.7107332
H010,J29,3.56,train,0.80572474,0.8372725,0.65006185
H012,J03,5.42,holdout,0.51062816,0.6438504,0.7478163
H012,J19,8.59,holdout,0.5976078,0.6184748,0.60980535
H012,J22,8.59,holdout,0.46934775,0.6507817,0.65400475
H012,J23,1.87,holdout,0.47131115,0.7557819,0.7686082
H012,J28,6.37,holdout,0.5082128,0.74549854,0.7177198
H012,J30,6.47,holdout,0.477866,0.63150847,0.7367032
H012,J31,5.2,holdout,0.56025684,0.6576658,0.73258513
H013,J05,7.4,train,0.6272634,0.85750186,0.8981727
H013,J19,7.77,train,0.66656965,0.8494173,0.88950133
H013,J20,6.32,train,0.62067467,0.85013944,0.87317485
H013,J25,5.78,train,0.8055439,0.85572964,0.83876944
H018,J01,8.47,holdout,0.7234099,0.9117941,0.83320796
H018,J09,7.64,holdout,0.6938756,0.86943495,0.7666883
H018,J19,4.63,holdout,0.64985585,0.8771605,0.7655879
H018,J20,4.56,holdout,0.66300845,0.89425576,0.7501786
H018,J23,6.49,holdout,0.6622864,0.79023117,0.8040656
H018,J26,8.23,holdout,0.644977,0.8849157,0.8257259
H018,J29,4.81,holdout,0.687219,0.88808715,0.8346431
H018,J30,7.82,holdout,0.7089722,0.89954764,0.88655055
H018,J31,8.34,holdout,0.7004996,0.93113405,0.8042257
H020,J01,9.53,train,0.76528096,0.7791635,0.8681047
H020,J02,10.0,train,0.7386945,0.8163045,0.8966551
H020,J03,10.0,train,0.84085023,0.7543962,0.90990883
H020,J10,8.78,train,0.80522525,0.77521783,0.8400849
H020,J15,5.5,train,0.78359735,0.8632294,0.7751775
H020,J20,5.52,train,0.7681051,0.8572559,0.66571414
H020,J21,9.49,train,0.81381464,0.863432,0.9285919
H020,J23,7.16,train,0.8441695,0.8773288,0.8427226
H020,J26,8.12,train,0.7795432,0.7947868,0.88878447
H020,J27,9.6,train,0.8015403,0.79328895,0.82974136
H020,J28,9.25,train,0.8392137,0.81968576,0.76715624
H020,J29,5.41,train,0.7623176,0.7248556,0.84853315
H020,J30,8.89,train,0.79448986,0.79822314,0.7970222
H020,J31,9.62,train,0.7380109,0.8271065,0.73120785
H021,J06,7.17,train,0.70263165,0.7228214,0.6140798
H021,J10,5.43,train,0.5962745,0.7434335,0.7256789
H021,J26,7.2,train,0.7231197,0.7490454,0.7309008
H021,J27,3.27,train,0.6596917,0.6874944,0.61023104
H022,J14,9.17,train,0.5826079,0.6750283,0.816463
H022,J15,4.61,train,0.7557937,0.7666153,0.91712826
H022,J16,2.32,train,0.65441,0.7644582,0.88506377
H022,J17,8.27,train,0.7329376,0.72894484,0.9098725
H023,J10,6.87,holdout,0.7521266,0.89852834,0.87944335
H023,J19,0.29,holdout,0.66871715,0.8393701,0.83979714
H023,J28,8.57,holdout,0.7660394,0.8841224,0.8483597
H023,J31,9.7,holdout,0.80030185,0.670429,0.94573474
H028,J01,9.58,train,0.78673816,0.9306772,0.8797352
