consumer,product,liking,split,visual_similarity,texture_similarity,flavor_similarity
H001,J01,9.52,holdout,0.7916633,0.89955676,0.8296523
H001,J04,6.53,holdout,0.7050625,0.77343434,0.91527164
H001,J05,6.85,holdout,0.71823347,0.8142667,0.77505755
H001,J16,0.58,holdout,0.8130183,0.7611201,0.6933732
H001,J25,3.42,holdout,0.7311946,0.8002907,0.799204
H001,J30,9.25,holdout,0.8125347,0.8473229,0.8271247
H003,J01,6.66,train,0.6416365,0.76796454,0.8642674
H003,J02,9.17,train,0.76340675,0.81780815,0.8451523
H003,J03,8.37,train,0.70054173,0.7512796,0.74428535
H003,J10,7.81,train,0.8353207,0.9481728,0.8929572
H003,J15,5.59,train,0.75229144,0.82163393,0.8773617
H003,J16,7.88,train,0.7782521,0.8970332,0.8068112
H003,J26,7.48,train,0.8588004,0.8669878,0.86511314
H003,J32,5.89,train,0.71285456,0.78481174,0.787899
H004,J01,9.88,train,0.76461816,0.7196909,0.84072566
H004,J02,7.52,train,0.84362036,0.70172244,0.8537912
H004,J09,7.73,train,0.7709609,0.7459897,0.76097226
H004,J10,6.92,train,0.7747706,0.7455779,0.7850246
H004,J15,9.78,train,0.7719862,0.69549924,0.7519706
H004,J17,9.94,train,0.75724554,0.65219694,0.69707894
H004,J30,10.0,train,0.85728216,0.68194616,0.6888397
H004,J31,9.22,train,0.82881665,0.68645877,0.80669516
H005,J05,6.65,train,0.5607362,0.58630097,0.537676
H005,J28,9.37,train,0.4592766,0.58613044,0.64411557
H006,J02,8.34,train,0.61194277,0.78615046,0.8525536
H006,J09,7.07,train,0.8405802,0.99999994,0.8807724
H006,J15,6.59,train,0.8330282,0.7740468,0.89107835
H006,J23,5.45,train,0.83331156,0.74396884,0.87107545
H006,J26,9.25,train,0.8071357,0.7069579,0.9063864
H006,J29,9.37,train,0.7787283,0.83100545,0.8212225
H007,J20,5.96,train,0.46408558,0.6101377,0.57163286
H007,J21,2.76,train,0.49851632,0.5788306,0.5266576
