feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
dummy_mean,dummy,0,-0.0016409071070206949,1.9204428328606307,2.377026199268636,2207,551,1,Mean-only baseline.
whole_text_one_score,hist_gbr,0,0.0010331642132335173,1.900850815822414,2.3738511164730562,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,0,0.03754886032532778,1.87078858537723,2.330060982822144,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,0,0.05209522313763448,1.8655607852821292,2.3123858224313056,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,0,0.007556929494336173,1.8784796968332231,2.3660871880593786,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,1,-0.0012282058687809183,2.0619336452504986,2.472065265824324,2190,568,1,Mean-only baseline.
whole_text_one_score,hist_gbr,1,0.02960739009604596,1.9848183081026878,2.4337005199472186,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,1,0.06545825867123589,1.9709478328038865,2.3883212711199926,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,1,0.06615494344974782,1.9687349234564322,2.387430878951644,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,1,0.05813365081823907,1.9303301979845926,2.3976624126852313,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,2,-0.008057581979168837,2.05503270714454,2.466970202480217,2231,527,1,Mean-only baseline.
whole_text_one_score,hist_gbr,2,0.0038933171143683554,2.0086239174920246,2.4523031755796043,2231,527,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,2,0.02571247986012848,2.007060307049069,2.4252962956276716,2231,527,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,2,0.02881856127069249,2.0023922395122904,2.4214272214531767,2231,527,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,2,0.024902075142473445,1.9581315294977164,2.426304757181887,2231,527,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,3,-0.009962974804423874,2.0526096286975486,2.533606644760271,2195,563,1,Mean-only baseline.
whole_text_one_score,hist_gbr,3,-0.008764844694423513,2.0434958497041733,2.532103376171888,2195,563,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,3,0.03719702779139833,2.0084138947640473,2.473746393666818,2195,563,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,3,0.027530311373078264,2.012704260608319,2.4861338095154477,2195,563,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,3,-0.018877618268220875,2.0072067830424465,2.5447637756720196,2195,563,1,"One cosine score after concatenating visual, texture, and flavor."
