feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
dummy_mean,dummy,0,-0.033759357972840576,1.9191875746714453,2.317923461778611,186,54,1,Mean-only baseline.
whole_text_one_score,ridge,0,0.06649901562381122,1.7866310784600659,2.202656395899472,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,hist_gbr,0,-0.06966592366134083,1.8634331485647264,2.357835187971212,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,0,-0.08396641465352195,1.8327513680499787,2.373543948785301,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,0,0.05121428408773432,1.8100356861794569,2.220615839369902,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,0,0.13692362341688835,1.6790869324988966,2.1179415926183376,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,1,-0.20817486265382268,2.046881720430108,2.4142582167444253,186,54,1,Mean-only baseline.
whole_text_one_score,ridge,1,-0.10072745877633182,1.9571300904733666,2.3044045319904916,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,hist_gbr,1,-0.45842391491690626,2.2448275337591044,2.6525324707596294,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,1,-0.3424748917818947,2.1607926165204763,2.5449069416612633,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,1,-0.12153501021342028,1.9866381072077157,2.326083164486239,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,1,0.0010756343306874694,1.8462605169510817,2.195255751500766,186,54,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,2,-0.012442168197676962,1.8130702291947538,2.2094418021895867,199,41,1,Mean-only baseline.
whole_text_one_score,ridge,2,0.06582084655367892,1.710010121607063,2.122328175599038,199,41,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,hist_gbr,2,0.21029868785646388,1.5248273271174206,1.9513217426570506,199,41,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,2,-0.4387918413430698,1.9757393234060323,2.6338827448941253,199,41,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,2,0.12908231670677583,1.640544694912313,2.0492078374772347,199,41,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,2,0.08707074497751799,1.642802138173398,2.0980508799530893,199,41,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,3,-0.14439398964586725,1.843726160291037,2.228841939857149,193,47,1,Mean-only baseline.
whole_text_one_score,ridge,3,-0.0463743844811455,1.676132549377011,2.131253143228502,193,47,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,hist_gbr,3,-0.09941920378948499,1.6868186189350725,2.18460612229681,193,47,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,3,-0.2819399991877709,1.8273508538804775,2.3589858531693,193,47,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,3,-0.06216869675530701,1.6934246141759086,2.147277810332439,193,47,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,3,-0.15040157607001503,1.7548165510109537,2.2346845228144048,193,47,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,4,-0.011518952019928808,1.9648222996515678,2.4658156919019407,205,35,1,Mean-only baseline.
whole_text_one_score,ridge,4,-0.08725209782756904,2.0260820146132974,2.5564583823061504,205,35,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,hist_gbr,4,-0.15217448812615064,2.031818698674016,2.6316778626061192,205,35,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,4,-0.10270380849584848,2.00205221387091,2.574560116641198,205,35,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,4,-0.011106256288429428,1.9449954038297659,2.4653126190592234,205,35,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,4,-0.0026104566584315148,1.9016816362803812,2.454933400855094,205,35,1,"One cosine score after concatenating visual, texture, and flavor."
three_modality_scores_raw_sts,ridge,0,0.08649522741774507,1.8044973871438206,2.178937507417641,186,54,3,Three STS cosine scores from the full comments in each modality.
