feature_set,model,r2_mean,r2_std,r2_max,mae_mean,mae_std,rmse_mean,n_scores,splits,description
three_modality_scores_qa_sts,extra_trees,0.13472442872089474,0.0303430274047243,0.20094202918446258,1.8886791403001575,0.0690409687344664,2.3307164695721587,3,50,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,svr_rbf,0.1279995511739065,0.04342566338821907,0.2109631028500354,1.8620347779876345,0.07388619550944592,2.3393521759103293,3,50,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,0.12490353845470217,0.029964037412834106,0.18378704210920394,1.8966982681368685,0.07033367781479778,2.344030062245573,3,50,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_tagged_sts,extra_trees,0.09543881426343419,0.03137633646745829,0.15585842328874067,1.9486641440996693,0.06934835121468999,2.3830868387946698,3,50,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,0.08852932092049114,0.030779597113952506,0.14685348146892607,1.9588898768831493,0.06966677932964332,2.39222529786076,3,50,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,svr_rbf,0.06631258340463798,0.035102989684368126,0.13652351626304204,1.9592891448906038,0.07106817089171333,2.421152349603155,3,50,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_raw_sts,extra_trees,0.055736151034264846,0.02646960276413393,0.10193958235728295,1.9904707714861187,0.07289348748830565,2.4350631923564716,3,50,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,gbr,0.052891409485979805,0.024656486866242132,0.10330060619145587,1.992020793268076,0.07100123310994622,2.4387019605639133,3,50,Three STS cosine scores from the full comments in each modality.
three_modality_scores_qa_sts,hist_gbr,0.05155879762074926,0.037828622359757286,0.14298231111370274,1.9652089573086906,0.06644603002358375,2.4399008291441944,3,50,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_retrieval_doc,extra_trees,0.04831491085307346,0.022740427960593338,0.09568522628127896,2.000353360147174,0.06979064474239328,2.4446803027748847,3,50,Three cosine scores using Retrieval-document embeddings.
whole_text_one_score,extra_trees,0.043626537942922844,0.01823725387223843,0.08161571866839834,2.011583191057507,0.06705425438452435,2.450703990872902,1,50,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,0.040685556250033575,0.021305806823763,0.07246395916045312,2.011550720230448,0.06811615447701028,2.4544283972588925,1,50,"One cosine score after concatenating visual, texture, and flavor."
three_modality_scores_retrieval_doc,gbr,0.03868004180069983,0.022754902958021045,0.09185569548025341,2.0109347400047572,0.07032218632575195,2.457065535164403,3,50,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_raw_sts,svr_rbf,0.033957980584391215,0.02277127493768394,0.08066535592013613,1.9836996265407174,0.06809809560607297,2.4630440536441616,3,50,Three STS cosine scores from the full comments in each modality.
whole_text_one_score,svr_rbf,0.025586804904673518,0.02200334392506136,0.07139416863404957,1.9822445435559992,0.06781299640484505,2.4738492519564237,1,50,"One cosine score after concatenating visual, texture, and flavor."
three_modality_scores_retrieval_doc,svr_rbf,0.023424037426045315,0.029729917729637567,0.09047705310032916,1.9891205219999195,0.07280718468976154,2.476424203008335,3,50,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_tagged_sts,hist_gbr,0.016713727421232134,0.05182170830457429,0.10669514004052205,2.0095989909820045,0.07183211911215054,2.4838366823405007,3,50,Three STS cosine scores with each comment labeled by modality.
whole_text_one_score,hist_gbr,0.0072179065643690095,0.029171877717277316,0.05696257167483232,2.040648515717291,0.06472535005492817,2.4964707384222464,1,50,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,-0.004384455821944413,0.006162887333826572,-7.915417352677423e-07,2.0645109488271696,0.06991858012175393,2.5118242916316578,1,50,Mean-only baseline.
three_modality_scores_raw_sts,hist_gbr,-0.02505019269210453,0.03995849519228143,0.06971009720962384,2.0605409005643027,0.07256765087416332,2.536630383841412,3,50,Three STS cosine scores from the full comments in each modality.
three_modality_scores_retrieval_doc,hist_gbr,-0.043065085920096016,0.03969339536602133,0.046378644283271875,2.086043325514127,0.07055556424451231,2.5587671098854585,3,50,Three cosine scores using Retrieval-document embeddings.
