feature_set,model,r2_mean,r2_std,r2_max,mae_mean,mae_std,rmse_mean,n_scores,splits,description
three_modality_scores_qa_sts,extra_trees,0.1472646254389433,0.11587989585365223,0.266158223341438,1.6885942492589066,0.17189295805565927,2.068390918569841,3,5,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,svr_rbf,0.13128449719394963,0.1887820627538125,0.321574207240227,1.6780995462346886,0.23212125937416347,2.0810891834266987,3,5,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,0.11805152049679027,0.13887902266585175,0.2657618719039462,1.7299905728134934,0.18249420438746078,2.1030950562180353,3,5,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_retrieval_doc,extra_trees,0.019142079566582804,0.08041212235101156,0.09889863950058664,1.7900655962971865,0.1043027779375037,2.216387668687564,3,5,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_tagged_sts,extra_trees,0.017078579478361288,0.0867204144365651,0.1184532903785146,1.8000159949167724,0.15579972938987768,2.22068830380478,3,5,Three STS cosine scores with each comment labeled by modality.
whole_text_one_score,svr_rbf,0.014411593999329453,0.10945264801509567,0.13692362341688835,1.7649295549829422,0.10920415712633413,2.220173229548338,1,5,"One cosine score after concatenating visual, texture, and flavor."
three_modality_scores_qa_sts,hist_gbr,0.013798654920153974,0.2168986896519203,0.18783052288151336,1.8336143562657892,0.18569615619794064,2.2151407212030323,3,5,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_raw_sts,extra_trees,-0.000705731947718613,0.08335147389308739,0.1059619276488385,1.8060278780700565,0.17197881321216094,2.2421220220808014,3,5,Three STS cosine scores from the full comments in each modality.
three_modality_scores_retrieval_doc,ridge,-0.002273563812973256,0.09381204977325525,0.1389346226616026,1.8372705316280435,0.11990227612711432,2.2409006715322266,3,5,Three cosine scores using Retrieval-document embeddings.
whole_text_one_score,extra_trees,-0.0029026724925293123,0.09747060369104481,0.12908231670677583,1.8151277012610323,0.15132600210131958,2.2416994541450075,1,5,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,ridge,-0.020406815781511246,0.08151969904742437,0.06649901562381122,1.831197170906161,0.15375034707374627,2.263420125804731,1,5,"One cosine score after concatenating visual, texture, and flavor."
three_modality_scores_raw_sts,ridge,-0.03939752682509625,0.07280455629564023,0.08649522741774507,1.8749462618424098,0.11672404568121175,2.283600758053452,3,5,Three STS cosine scores from the full comments in each modality.
three_modality_scores_retrieval_doc,gbr,-0.04291839757139284,0.1557659829706875,0.10659936767097078,1.7740280797608634,0.07571571716854794,2.279084471599244,3,5,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_qa_sts,ridge,-0.05240374614131862,0.13183762719268172,0.14353476952634014,1.8654125350709259,0.17780917011615105,2.2975280091100947,3,5,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_tagged_sts,ridge,-0.05425836204270269,0.09413681755074259,0.10764359397437262,1.89286154529677,0.1373500865777408,2.299180524920944,3,5,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,-0.06622686942026479,0.09299679360561659,0.0335787552785356,1.8863808210578672,0.12217827038680262,2.311791704970795,3,5,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_raw_sts,svr_rbf,-0.06910998636932117,0.18523037735150757,0.15659421792358352,1.8876128050223229,0.23867440895639175,2.3150002617700887,3,5,Three STS cosine scores from the full comments in each modality.
dummy_mean,dummy,-0.08205786609802726,0.08936738610899253,-0.011518952019928808,1.9175375968477824,0.09398141694274496,2.3272562224943423,1,5,Mean-only baseline.
three_modality_scores_retrieval_doc,hist_gbr,-0.10020816419346526,0.16845707164587384,0.1308907282471503,1.8498401072162394,0.10139924727818633,2.343296857897291,3,5,Three cosine scores using Retrieval-document embeddings.
whole_text_one_score,hist_gbr,-0.11387696852748377,0.23844957428931624,0.21029868785646388,1.8703450654100677,0.2825876377185181,2.355594677258164,1,5,"One cosine score after concatenating visual, texture, and flavor."
three_modality_scores_tagged_sts,svr_rbf,-0.11861651358509842,0.1260665486597256,0.037606903781553624,1.9501891841666972,0.17116239104238898,2.368723388807326,3,5,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_raw_sts,gbr,-0.13412864514162853,0.15853630780452518,0.021836791049520854,1.8890500185568215,0.20921945016755986,2.3866929403412245,3,5,Three STS cosine scores from the full comments in each modality.
three_modality_scores_retrieval_doc,svr_rbf,-0.16351102796028946,0.20178504185486842,-0.013662151101550224,1.9285832312819433,0.11205262882072492,2.406869991449151,3,5,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_tagged_sts,hist_gbr,-0.17979613507728018,0.2063265152840529,0.1495328036741339,1.959469919978575,0.2881780044359201,2.430294920289412,3,5,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_raw_sts,hist_gbr,-0.23361774103213154,0.15765339532974562,-0.09239882398773513,1.9183145412394063,0.2518011124276383,2.491099470047575,3,5,Three STS cosine scores from the full comments in each modality.
whole_text_one_score,gbr,-0.24997539109242117,0.1536859175254332,-0.08396641465352195,1.959737275145575,0.13795058446732672,2.4971759210302378,1,5,"One cosine score after concatenating visual, texture, and flavor."
