feature_set,modality,mean_similarity,sd_similarity,correlation_with_liking
three_modality_scores_raw_sts,visual,0.6912437677383423,0.10938282310962677,0.11446853874957752
three_modality_scores_raw_sts,texture,0.6964626312255859,0.10819518566131592,0.15462475217728092
three_modality_scores_raw_sts,flavor,0.707285463809967,0.11801346391439438,0.18881773629430804
three_modality_scores_tagged_sts,visual,0.7370522022247314,0.1008249819278717,0.1175022558991631
three_modality_scores_tagged_sts,texture,0.7797205448150635,0.09128269553184509,0.15766030208368234
three_modality_scores_tagged_sts,flavor,0.7771359086036682,0.09228604286909103,0.18251164803404643
three_modality_scores_qa_sts,visual,0.8992407321929932,0.04300184175372124,0.15058232378184636
three_modality_scores_qa_sts,texture,0.9054294228553772,0.04317164421081543,0.205699733891596
three_modality_scores_qa_sts,flavor,0.9004976749420166,0.04635666310787201,0.24131888449590752
three_modality_scores_retrieval_doc,visual,0.7169636487960815,0.1093638688325882,0.08231107032786782
three_modality_scores_retrieval_doc,texture,0.7842379212379456,0.10054386407136917,0.11095769424891382
three_modality_scores_retrieval_doc,flavor,0.7987877726554871,0.0889924094080925,0.1616883389582889
