row_id,Consumer,Product,Liking,parse_error,overall_visual_match,color_pinkness_match,fat_lean_appearance_match,surface_moisture_shine_match,slice_structure_homogeneity_match,overall_texture_match,tenderness_softness_match,firmness_rubberiness_match,dryness_juiciness_match,fibrous_stringy_pieces_match,thickness_chew_match,overall_flavor_match,saltiness_match,ham_taste_match,aromatic_smoky_spiced_match,bland_insipid_intensity_match,offnote_aftertaste_match
0,H001,J01,9.52,,4.0,2.0,6.0,,,5.0,5.0,,,,2.0,4.0,6.0,4.0,3.0,,
1,H001,J04,6.53,,2.0,1.0,3.0,,2.0,3.0,3.0,4.0,,,,4.0,6.0,4.0,2.0,,
2,H001,J05,6.85,,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,,,,2.0,3.0,2.0,1.0,2.0,
3,H001,J16,0.58,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,1.0,
4,H001,J25,3.42,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,,2.0,,2.0,3.0,2.0,2.0,2.0,
5,H001,J30,9.25,,4.0,2.0,5.0,,,5.0,5.0,,,,1.0,4.0,6.0,,3.0,,
6,H003,J01,6.66,,6.0,6.0,6.0,,,4.0,3.0,,3.0,,6.0,6.0,6.0,6.0,,,
7,H003,J02,9.17,,6.0,6.0,6.0,,,6.0,6.0,,6.0,,,6.0,6.0,6.0,,,
8,H003,J03,8.37,,6.0,6.0,6.0,,6.0,6.0,6.0,,6.0,,,6.0,6.0,6.0,,,
9,H003,J10,7.81,,6.0,6.0,6.0,,6.0,6.0,6.0,,6.0,,6.0,6.0,6.0,6.0,,,
10,H003,J15,5.59,,6.0,6.0,6.0,,5.0,3.0,3.0,,5.0,,6.0,5.0,6.0,6.0,,,
11,H003,J16,7.88,,6.0,6.0,6.0,,6.0,6.0,6.0,,6.0,,5.0,6.0,6.0,6.0,,,
12,H003,J26,7.48,,5.0,4.0,6.0,,5.0,6.0,6.0,,6.0,,5.0,5.0,6.0,6.0,,,
13,H003,J32,5.89,,4.0,3.0,6.0,,,2.0,2.0,,2.0,,,5.0,6.0,6.0,,,
14,H004,J01,9.88,,6.0,,,,,3.0,3.0,,,,2.0,6.0,6.0,6.0,,,6.0
15,H004,J02,7.52,,3.0,3.0,2.0,,2.0,4.0,,,,,5.0,2.0,,2.0,,2.0,2.0
16,H004,J09,7.73,,1.0,2.0,,,,2.0,,,,,1.0,4.0,,,,,
17,H004,J10,6.92,,2.0,6.0,,,2.0,3.0,,,,,2.0,5.0,6.0,5.0,,6.0,
18,H004,J15,9.78,,4.0,6.0,,,3.0,3.0,3.0,,,,2.0,5.0,6.0,5.0,,6.0,
19,H004,J17,9.94,,5.0,5.0,,,,3.0,3.0,,,,2.0,4.0,,4.0,4.0,5.0,
20,H004,J30,10.0,,6.0,5.0,,,4.0,4.0,,,,,3.0,5.0,,5.0,,,
21,H004,J31,9.22,,5.0,6.0,,,5.0,2.0,2.0,,,,1.0,5.0,,6.0,,,
22,H005,J05,6.65,,,,,,,,,,,,,,,,,,
23,H005,J28,9.37,,,,,,,,,,,,,,,,,,
24,H006,J02,8.34,,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,
25,H006,J09,7.07,,4.0,4.0,5.0,,,6.0,,6.0,,,,4.0,4.0,,,,
26,H006,J15,6.59,,3.0,3.0,5.0,,,2.0,,2.0,,2.0,,4.0,4.0,,,,
27,H006,J23,5.45,,3.0,5.0,2.0,,,2.0,,2.0,2.0,,,3.0,5.0,3.0,3.0,3.0,
28,H006,J26,9.25,,6.0,6.0,5.0,,5.0,4.0,,4.0,,,,5.0,6.0,,,,
29,H006,J29,9.37,,3.0,4.0,2.0,,,5.0,,5.0,,,,3.0,,,2.0,,
30,H007,J20,5.96,,,,,,,,,,,,,,,,,,
31,H007,J21,2.76,,,,,,,,,,,,,,,,,,
32,H007,J23,3.43,,,,,,,,,,,,,,,,,,
33,H007,J26,9.19,,,,,,,,,,,,,,,,,,
34,H008,J01,8.38,,5.0,,6.0,,,5.0,4.0,6.0,,,,5.0,6.0,4.0,,4.0,
35,H008,J02,6.44,,2.0,,4.0,2.0,2.0,5.0,4.0,5.0,,,,2.0,2.0,2.0,,,2.0
36,H008,J05,5.66,,3.0,,6.0,,2.0,5.0,5.0,6.0,5.0,,2.0,4.0,6.0,4.0,,,
37,H008,J14,6.23,,3.0,,6.0,2.0,2.0,4.0,3.0,5.0,,,6.0,3.0,6.0,2.0,,,
38,H008,J17,5.0,,2.0,,,,2.0,5.0,4.0,6.0,,,,4.0,3.0,4.0,,,
39,H008,J19,7.7,,4.0,,6.0,3.0,,4.0,4.0,3.0,3.0,,6.0,5.0,6.0,,,,
40,H008,J20,7.37,,5.0,,6.0,4.0,,4.0,5.0,3.0,,,,5.0,6.0,4.0,,,
41,H008,J23,8.13,,2.0,,3.0,,2.0,5.0,5.0,5.0,,,,4.0,3.0,5.0,,,
42,H008,J30,9.31,,5.0,,6.0,5.0,,6.0,6.0,6.0,5.0,,,5.0,6.0,5.0,,,
43,H009,J01,3.92,,4.0,6.0,,,,2.0,2.0,2.0,3.0,,2.0,6.0,6.0,6.0,,,
44,H009,J15,4.02,,3.0,3.0,2.0,,,3.0,4.0,,2.0,,,4.0,3.0,5.0,,,
45,H009,J20,7.33,,5.0,5.0,6.0,,,4.0,5.0,5.0,3.0,,6.0,5.0,6.0,6.0,,,
46,H009,J23,7.69,,5.0,,,,,6.0,6.0,6.0,6.0,,6.0,4.0,6.0,3.0,,3.0,
47,H009,J25,3.72,,2.0,4.0,2.0,,2.0,2.0,2.0,2.0,4.0,,2.0,2.0,5.0,2.0,,2.0,
48,H009,J26,7.74,,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,,6.0,6.0,6.0,6.0,,,
49,H010,J01,1.97,,4.0,6.0,5.0,,5.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,1.0,
50,H010,J10,3.9,,6.0,6.0,,,,2.0,2.0,2.0,2.0,,,4.0,3.0,5.0,,,
51,H010,J20,5.01,,4.0,3.0,,,,4.0,4.0,,5.0,,,5.0,,5.0,,,
52,H010,J21,5.87,,5.0,4.0,,,,6.0,6.0,,5.0,,,5.0,,,,,
53,H010,J23,2.38,,1.0,1.0,4.0,,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,
54,H010,J26,3.38,,4.0,4.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,4.0,,4.0,,3.0,
55,H010,J28,4.24,,5.0,6.0,,,,3.0,3.0,,,,,4.0,,5.0,,,
56,H010,J29,3.56,,4.0,3.0,3.0,,3.0,5.0,5.0,5.0,6.0,,,3.0,3.0,3.0,,3.0,
57,H012,J03,5.42,,,,,,,,,,,,,,,,,,
58,H012,J19,8.59,,,,,,,,,,,,,,,,,,
59,H012,J22,8.59,,,,,,,,,,,,,,,,,,
60,H012,J23,1.87,,,,,,,,,,,,,,,,,,
