row_id,Consumer,Product,split,Liking,overall_visual_match,overall_visual_match_missing,color_pinkness_match,color_pinkness_match_missing,fat_lean_appearance_match,fat_lean_appearance_match_missing,surface_moisture_shine_match,surface_moisture_shine_match_missing,slice_structure_homogeneity_match,slice_structure_homogeneity_match_missing,overall_texture_match,overall_texture_match_missing,tenderness_softness_match,tenderness_softness_match_missing,firmness_rubberiness_match,firmness_rubberiness_match_missing,dryness_juiciness_match,dryness_juiciness_match_missing,fibrous_stringy_pieces_match,fibrous_stringy_pieces_match_missing,thickness_chew_match,thickness_chew_match_missing,overall_flavor_match,overall_flavor_match_missing,saltiness_match,saltiness_match_missing,ham_taste_match,ham_taste_match_missing,aromatic_smoky_spiced_match,aromatic_smoky_spiced_match_missing,bland_insipid_intensity_match,bland_insipid_intensity_match_missing,offnote_aftertaste_match,offnote_aftertaste_match_missing
0,H001,J01,train,9.52,4.0,0,2.0,0,6.0,0,3.5,1,3.5,1,5.0,0,5.0,0,3.5,1,3.5,1,3.5,1,2.0,0,4.0,0,6.0,0,4.0,0,3.0,0,3.5,1,3.5,1
1,H001,J04,train,6.53,2.0,0,1.0,0,3.0,0,3.5,1,2.0,0,3.0,0,3.0,0,4.0,0,3.5,1,3.5,1,3.5,1,4.0,0,6.0,0,4.0,0,2.0,0,3.5,1,3.5,1
2,H001,J05,train,6.85,2.0,0,1.0,0,2.0,0,1.0,0,3.5,1,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,2.0,0,3.0,0,2.0,0,1.0,0,2.0,0,3.5,1
3,H001,J16,train,0.58,1.0,0,1.0,0,1.0,0,1.0,0,2.0,0,1.0,0,1.0,0,1.0,0,3.5,1,3.5,1,1.0,0,1.0,0,4.0,0,1.0,0,1.0,0,1.0,0,3.5,1
4,H001,J25,train,3.42,1.0,0,2.0,0,1.0,0,2.0,0,1.0,0,2.0,0,2.0,0,3.0,0,3.5,1,2.0,0,3.5,1,2.0,0,3.0,0,2.0,0,2.0,0,2.0,0,3.5,1
5,H001,J30,train,9.25,4.0,0,2.0,0,5.0,0,3.5,1,3.5,1,5.0,0,5.0,0,3.5,1,3.5,1,3.5,1,1.0,0,4.0,0,6.0,0,3.5,1,3.0,0,3.5,1,3.5,1
6,H003,J01,train,6.66,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,4.0,0,3.0,0,3.5,1,3.0,0,3.5,1,6.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
7,H003,J02,train,9.17,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
8,H003,J03,train,8.37,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
9,H003,J10,train,7.81,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
10,H003,J15,train,5.59,6.0,0,6.0,0,6.0,0,3.5,1,5.0,0,3.0,0,3.0,0,3.5,1,5.0,0,3.5,1,6.0,0,5.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
11,H003,J16,train,7.88,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,5.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
